nTasks=20;
nThreads=116;
nCPUs=5;
nCores=17;
rh=[348.5708474 139.117312208 121.957587663 267.396657682 195.709679324 237.566812684 132.590629201 464.609246773 273.217195824 100.766856872 352.146800084 262.143313299 460.48053275 105.527598875 268.986324154 278.126640289 122.977535855 347.06435693 443.18251061 197.112315645 451.364072858 474.282370699 340.19081541 390.620334462 482.114582582 472.089864805 206.752128369 284.519547872 133.114760319 452.219508615 100.984598555 358.53179393 430.186804439 474.033471245 496.427465291 452.646633763 108.027631863 492.923030094 308.769985141 428.30242004 335.999466927 321.258951391 397.696956411 198.742857006 127.737110703 437.809019396 308.817091522 212.458612591 283.68260131 323.535336947 185.538933636 371.56390504 429.074521934 174.596971097 471.241881656 244.437036919 222.138826791 481.77851758 320.259751679 192.931284362 306.768019589 164.316245958 398.115586149 109.918827189 449.872999767 308.985645854 279.733147594 322.335450026 332.082805508 181.985859811 246.446185122 204.339397258 221.836695616 302.837562264 481.199721236 339.660131166 463.584941675 381.721234774 134.935718729 212.676207284 343.270648533 312.85912374 449.598759086 219.20330831 262.446537448 248.71874695 340.128208777 245.270117337 431.578903727 254.825050448 427.163120044 236.367259854 171.686337558 299.464378077 462.475305516 123.169948278 465.13997769 257.23913966 482.997616111 258.970468519 306.393214846 106.61686553 262.920828346 456.942505856 225.245380544 404.595638436 391.738317171 263.195418822 355.015159253 229.148980968 232.897825936 214.183854355 159.045207689 454.694062762 406.724508026 229.123927628];
rc=[9290.3217996 6708.1347968 8327.54864397 8268.7243895 5188.77646745];
CK=[
	[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
];
TH=[
	[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
