wine-Female-DoNotOwnHome,wine-Female-DoNotOwnHome|wine-Female-DoNotOwnHome
dairy-fish-Female-DoNotOwnHome,dairy-fish-Female-DoNotOwnHome
Female-Homeowner,Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner|Female-Homeowner
beer-softdrink-Male-DoNotOwnHome,beer-softdrink-Male-DoNotOwnHome
freshmeat-dairy-cannedmeat-Male-DoNotOwnHome,
cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner,cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-confectionery-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-wine-Male-Homeowner|cannedveg-frozenmeal-beer-fish-Male-Homeowner|freshmeat-cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner|dairy-cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|dairy-cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|dairy-cannedveg-cannedmeat-frozenmeal-beer-softdrink-Male-Homeowner|dairy-cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-fish-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-frozenmeal-beer-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner|cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner
fruitveg-beer-Female-Homeowner,fruitveg-dairy-frozenmeal-beer-Female-Homeowner|fruitveg-frozenmeal-beer-Female-Homeowner|fruitveg-beer-Female-Homeowner
fruitveg-cannedveg-softdrink-Female-Homeowner,fruitveg-softdrink-Female-Homeowner
fruitveg-beer-wine-confectionery-Female-Homeowner,dairy-beer-wine-confectionery-Female-Homeowner|fruitveg-wine-confectionery-Female-Homeowner|fruitveg-beer-wine-confectionery-Female-Homeowner|beer-wine-confectionery-Female-Homeowner|fruitveg-beer-wine-confectionery-Female-Homeowner|fruitveg-beer-wine-confectionery-Female-Homeowner|fruitveg-cannedmeat-beer-wine-fish-confectionery-Female-Homeowner|fruitveg-beer-wine-fish-confectionery-Female-Homeowner
fruitveg-freshmeat-cannedmeat-fish-Female-DoNotOwnHome,fruitveg-freshmeat-cannedveg-fish-Female-DoNotOwnHome|fruitveg-freshmeat-softdrink-fish-Female-DoNotOwnHome|fruitveg-freshmeat-cannedveg-fish-Female-DoNotOwnHome
fish-Male-Homeowner,frozenmeal-fish-Male-Homeowner|frozenmeal-fish-Male-Homeowner|fish-Male-Homeowner|fish-Male-Homeowner|fish-Male-Homeowner
beer-Female-Homeowner,beer-fish-Female-Homeowner|beer-Female-Homeowner|beer-Female-Homeowner|beer-Female-Homeowner|beer-Female-Homeowner|dairy-beer-Female-Homeowner|dairy-beer-Female-Homeowner|beer-Female-Homeowner|frozenmeal-beer-Female-Homeowner|beer-Female-Homeowner
fruitveg-freshmeat-cannedveg-frozenmeal-beer-Male-Homeowner,fruitveg-cannedveg-frozenmeal-beer-wine-Male-Homeowner|freshmeat-cannedveg-cannedmeat-frozenmeal-beer-Male-Homeowner|fruitveg-cannedveg-frozenmeal-beer-Male-Homeowner|freshmeat-cannedveg-frozenmeal-beer-Male-Homeowner
dairy-cannedveg-beer-Female-DoNotOwnHome,cannedveg-beer-Female-DoNotOwnHome
frozenmeal-Male-Homeowner,frozenmeal-fish-Male-Homeowner|frozenmeal-Male-Homeowner|frozenmeal-Male-Homeowner|frozenmeal-fish-Male-Homeowner|frozenmeal-Male-Homeowner|frozenmeal-Male-Homeowner|frozenmeal-Male-Homeowner
fruitveg-cannedveg-beer-wine-softdrink-confectionery-Female-Homeowner,
fruitveg-softdrink-fish-Female-DoNotOwnHome,fruitveg-dairy-softdrink-fish-Female-DoNotOwnHome|fruitveg-beer-softdrink-fish-Female-DoNotOwnHome|fruitveg-frozenmeal-softdrink-fish-Female-DoNotOwnHome|fruitveg-beer-softdrink-fish-Female-DoNotOwnHome|fruitveg-softdrink-Female-DoNotOwnHome
freshmeat-softdrink-Female-Homeowner,frozenmeal-softdrink-Female-Homeowner|fruitveg-freshmeat-softdrink-Female-Homeowner|softdrink-Female-Homeowner|freshmeat-frozenmeal-softdrink-Female-Homeowner|frozenmeal-softdrink-Female-Homeowner
freshmeat-frozenmeal-wine-confectionery-Female-Homeowner,wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|frozenmeal-wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|frozenmeal-wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|freshmeat-wine-confectionery-Female-Homeowner|fruitveg-frozenmeal-wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|freshmeat-wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner|wine-confectionery-Female-Homeowner
freshmeat-frozenmeal-confectionery-Female-Homeowner,confectionery-Female-Homeowner|confectionery-Female-Homeowner
fruitveg-fish-Female-DoNotOwnHome,fruitveg-Female-DoNotOwnHome|fruitveg-fish-Female-DoNotOwnHome|fruitveg-beer-fish-Female-DoNotOwnHome|fruitveg-fish-Female-DoNotOwnHome|fruitveg-Female-DoNotOwnHome|fruitveg-fish-Female-DoNotOwnHome|fruitveg-beer-fish-Female-DoNotOwnHome|fruitveg-dairy-fish-Female-DoNotOwnHome|fruitveg-cannedveg-fish-Female-DoNotOwnHome
beer-Female-DoNotOwnHome,dairy-beer-Female-DoNotOwnHome|beer-Female-DoNotOwnHome|fruitveg-beer-Female-DoNotOwnHome|beer-Female-DoNotOwnHome|fruitveg-beer-Female-DoNotOwnHome
