DoNotOwnHome-Female-wine,
dairy-DoNotOwnHome-Female-fish,DoNotOwnHome-Female-wine-softdrink
Female-Homeowner,Male-DoNotOwnHome-cannedveg-frozenmeal-beer
Male-DoNotOwnHome-beer-softdrink,
freshmeat-dairy-Male-DoNotOwnHome-cannedmeat,
Male-cannedveg-frozenmeal-beer-Homeowner-cannedmeat,
Female-beer-Homeowner-fruitveg,
Female-cannedveg-Homeowner-fruitveg-softdrink,
confectionery-Female-beer-wine-Homeowner-fruitveg,freshmeat-Female-wine-Homeowner-softdrink
freshmeat-DoNotOwnHome-Female-fish-fruitveg-cannedmeat,
Male-fish-Homeowner,
Female-beer-Homeowner,
freshmeat-Male-cannedveg-frozenmeal-beer-Homeowner-fruitveg,
dairy-DoNotOwnHome-Female-cannedveg-beer,
Male-frozenmeal-Homeowner,
confectionery-Female-cannedveg-beer-wine-Homeowner-fruitveg-softdrink,
DoNotOwnHome-Female-fish-fruitveg-softdrink,
freshmeat-Female-Homeowner-softdrink,
freshmeat-confectionery-Female-frozenmeal-wine-Homeowner,
freshmeat-confectionery-Female-frozenmeal-Homeowner,
DoNotOwnHome-Female-fish-fruitveg,
DoNotOwnHome-Female-beer,
Male-DoNotOwnHome-cannedveg-frozenmeal-beer,
dairy-DoNotOwnHome-Female-frozenmeal-fruitveg-cannedmeat,
confectionery-Male-wine-Homeowner,
dairy-Male-cannedveg-frozenmeal-beer-Homeowner-fruitveg,
confectionery-Female-cannedveg-fish-wine-Homeowner,
confectionery-DoNotOwnHome-Female-cannedveg-wine-fruitveg,
DoNotOwnHome-Female,
freshmeat-confectionery-Female-cannedveg-fish-wine-Homeowner-softdrink-cannedmeat,
Male-cannedveg-frozenmeal-beer-Homeowner,
freshmeat-Male-Homeowner,confectionery-Female-beer-wine-Homeowner-fruitveg
dairy-Male-DoNotOwnHome-frozenmeal-fish-fruitveg,Male-fish-Homeowner
DoNotOwnHome-Female-frozenmeal,
Male-DoNotOwnHome-beer-fruitveg-cannedmeat,
dairy-confectionery-Female-wine-Homeowner-fruitveg,
freshmeat-confectionery-DoNotOwnHome-Female-cannedveg-fish-wine-fruitveg-softdrink,
freshmeat-Female-Homeowner,Male-cannedveg-frozenmeal-beer-Homeowner
Male-cannedveg-Homeowner-fruitveg,
dairy-confectionery-Male-frozenmeal-beer-Homeowner,confectionery-DoNotOwnHome-Female-cannedveg-wine
confectionery-Female-fish-wine-Homeowner-cannedmeat,
freshmeat-dairy-confectionery-Female-Homeowner-cannedmeat,
DoNotOwnHome-Female-wine,
confectionery-Male-DoNotOwnHome-cannedveg-frozenmeal-beer-fruitveg,
confectionery-Male-DoNotOwnHome-cannedveg-frozenmeal-beer-fish-fruitveg,
dairy-confectionery-Female-Homeowner,
